sentence,course,discipline,institution,contributor,stance,confidence,prob_disc,prob_cond,prob_enc
"When using AI tools on assignments, add an appendix showing (a) the entire exchange, highlighting the most relevant sections; (b) a description of precisely which AI tools were used (e.g. ChatGPT private subscription version or DALL-E free version), (c) an explanation of how the AI tools were used (e.g. to generate ideas, turns of phrase, elements of text, long stretches of text, lines of argument, pieces of evidence, maps of conceptual territory, illustrations of key concepts, etc.); (d) an account of why AI tools were used (e.g. to save time, to surmount writer’s block, to stimulate thinking, to handle mounting stress, to clarify prose, to translate text, to experiment for fun, etc.).",Computing & Data Sciences,Computer Science,Boston University,More Details,encouraging,0.6620277762413025,0.19998507,0.13798715,0.6620278
"Not use AI tools during in-class examinations, or assignments, unless explicitly permitted and instructed.",Computing & Data Sciences,Computer Science,Boston University,More Details,discouraging,0.6455740332603455,0.64557403,0.28975958,0.06466648
"Employ AI detection tools and originality checks prior to submission, ensuring that their submitted work is not mistakenly flagged.",Computing & Data Sciences,Computer Science,Boston University,More Details,discouraging,0.6674090623855591,0.66740906,0.28666958,0.045921322
"Use AI tools wisely and intelligently, aiming to deepen understanding of subject matter and to support learning.",Computing & Data Sciences,Computer Science,Boston University,More Details,encouraging,0.9447030425071716,0.022403596,0.032893322,0.94470304
"Instructors shall
Seek to understand how AI tools work, including their strengths and weaknesses, to optimize their value for student learning.",Computing & Data Sciences,Computer Science,Boston University,More Details,encouraging,0.9774905443191528,0.012479541,0.010029893,0.97749054
Treat work by students who declare no use of AI tools as the baseline for grading.,Computing & Data Sciences,Computer Science,Boston University,More Details,discouraging,0.6481497287750244,0.6481497,0.28776872,0.06408151
"Use a lower baseline for students who declare use of AI tools, depending on how extensive the usage, while rewarding creativity, critical nuance, and the correction of inaccuracies or superficial interpretations in response to suggestions made by AI tools.",Computing & Data Sciences,Computer Science,Boston University,More Details,conditional,0.6339051127433777,0.31304216,0.6339051,0.053052716
Employ AI detection tools to evaluate the degree to which AI tools have likely been employed.,Computing & Data Sciences,Computer Science,Boston University,More Details,encouraging,0.7077205181121826,0.1183625,0.17391698,0.7077205
Impose a significant penalty for low-energy or unreflective reuse of material generated by AI tools and assigning zero points for merely reproducing the output from AI tools.,Computing & Data Sciences,Computer Science,Boston University,More Details,discouraging,0.6608374118804932,0.6608374,0.28243303,0.056729496
"This policy recognizes that
This policy depends on goodwill, a sense of fairness, and honorable character.",Computing & Data Sciences,Computer Science,Boston University,More Details,encouraging,0.503216028213501,0.33853826,0.15824573,0.503216
Some instructors may prefer stronger restrictions on the use of AI tools and they are free to impose them so long as care is taken to maintain transparency and fairness in grading.,Computing & Data Sciences,Computer Science,Boston University,More Details,conditional,0.41639626026153564,0.24604996,0.41639626,0.33755377
"This policy takes account of the existence of subscription versions of AI tools, which are not affordable for some students; the policy may need to be revised as the differences between subscription and free versions become better understood.",Computing & Data Sciences,Computer Science,Boston University,More Details,discouraging,0.5641912221908569,0.5641912,0.32696986,0.10883895
This policy may be revised in light of other policies and novel technological developments in AI tools.,Computing & Data Sciences,Computer Science,Boston University,More Details,encouraging,0.6204586625099182,0.16260032,0.216941,0.62045866
"Using AI tools in this course

The AI winter (links to an external site) is over.",CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,encouraging,0.9277503490447998,0.055502083,0.016747648,0.92775035
This is to ask for your help in understanding the impact of AI in our classroom.,CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,encouraging,0.9674921631813049,0.018782191,0.0137257,0.96749216
"In this course, the use of AI tools carries NO PENALTY and is STRONGLY ENCOURAGED.",CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,discouraging,0.6785336136817932,0.6785336,0.14984798,0.17161843
"For any course assessment, you are encouraged to attempt to solve it using AI.",CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,encouraging,0.9699694514274597,0.016315782,0.013714787,0.96996945
"As we proceed, the assessments may even contain an explicit question on this.",CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,encouraging,0.8577156066894531,0.073526256,0.06875805,0.8577156
"You will be required to report the AI service that you used, the question(s) that you used it for, the prompts that you gave it, whether you revised your prompts and why, whether you edited the AI's response for submission and why.",CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,discouraging,0.527136504650116,0.5271365,0.40409353,0.06877002
We want to know about both failed and successful attempts.,CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,encouraging,0.9145632982254028,0.044161893,0.04127475,0.9145633
"@online{chatgpt,
  title = {ChatGPT},
  author = {OpenAI},
  url = {https://chat.openai.com/chat},
  urldate = {2023-01-25},
  note = {Prompt: how do i cite a chatgpt chat in bibtex format?}
}
--
BibTeX (links to an external site.)",CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,discouraging,0.5080453753471375,0.5080454,0.070830196,0.42112446
"@misc{chatgpt,
  title = {ChatGPT},
  author = {OpenAI},
  howpublished = {https://chat.openai.com/chat},
  date = {2023-01-25},
  note = {Prompt: how do i cite a chatgpt chat in bibtex format?}
}
--
bibitem (links to an external site.)",CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,discouraging,0.5342446565628052,0.53424466,0.07299945,0.3927559
"\bibitem{chatgpt}
OpenAI. \textit{ChatGPT}.",CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,encouraging,0.5047807693481445,0.41692394,0.07829527,0.50478077
Available: https://openai.com/chat .,CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,encouraging,0.7686605453491211,0.18086973,0.05046974,0.76866055
Prompt: how do i cite a chatgpt chat in bibtex format?,CS 412 Algorithms: Design and Analysis,Computer Science,Habib University,Waqar Saleem,encouraging,0.6490818858146667,0.2719546,0.07896354,0.6490819
"Generative AI systems (like ChatGPT), if used correctly, can serve as powerful tools for learning and idea refinement.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,encouraging,0.9656121730804443,0.014800081,0.019587824,0.9656122
"In this course, you can use generative AI productively in many cases, but there are some restrictions.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,encouraging,0.5257608294487,0.21042062,0.26381853,0.5257608
"Possible ways to use AI
Here are some examples of how you might be able to use AI in this course.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,encouraging,0.9749106764793396,0.01414231,0.010947112,0.9749107
"Restrictions: 
There are some assignments or activities where I will explicitly ask you not to use generative AI, such as on some homework assignments, on reflection questions, or on “Are you an NLP Scholar” activities.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,discouraging,0.7178008556365967,0.71780086,0.20837341,0.07382575
"In these cases, it might be trivial to get the correct answer from GenAI, but I believe that true intellectual growth is possible only if you work through the difficult problem and discover the answer for yourself, and not from just reading a pre-generated answer.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,conditional,0.6740228533744812,0.08070803,0.67402285,0.24526912
"In these cases, using AI will count as cheating even if you cite the AI system as a source.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,discouraging,0.6051279902458191,0.605128,0.3090242,0.08584779
"If you are unsure about whether a certain use of AI is appropriate, please just ask me!",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,encouraging,0.4286876916885376,0.18733408,0.38397822,0.4286877
"Disclaimers:
Based on my own experimentation, I’ve found that there are many cases in which GenAI can give you very confident sounding answers that are wrong in subtle but important ways.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,encouraging,0.6884003281593323,0.14116807,0.1704316,0.6884003
"If you do decide to use these models, it is your responsibility to fact check the insights that you gain.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,encouraging,0.9074898362159729,0.017884681,0.07462548,0.90748984
"Remember: Policies around the use of Generative AI tools, like any other course policies, vary across different courses both within and outside the department.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,encouraging,0.5448639392852783,0.3365504,0.118585646,0.54486394
"You are welcome to use AI tools such as ChatGPT to generate ideas, clarify homework questions when they are unclear, review topics, clear up any confusing concepts, help select an algorithm for a group or individual project, and help write the group project report.",CSE 3500 Algorithms and Complexity,Computer Science,University of Connecticut,Lina Kloub,encouraging,0.9599617123603821,0.021399947,0.018638408,0.9599617
"However, whenever you use them, you must include an acknowledgment statement that briefly explains how you used the tool.",CSE 3500 Algorithms and Complexity,Computer Science,University of Connecticut,Lina Kloub,discouraging,0.6115123629570007,0.61151236,0.25491714,0.1335705
"For example, 'I used ChatGPT to review the definition of Big O notation in question 1’ or ‘I used GPT-3 to find a good algorithm for my individual project’ or 'While I was writing the group project report, after writing my second paragraph, I used ChatGPT to revise it.’",CSE 3500 Algorithms and Complexity,Computer Science,University of Connecticut,Lina Kloub,encouraging,0.9047381281852722,0.07038479,0.024877107,0.9047381
Please also note that all large language models can still generate incorrect facts and fake citations.,CSE 3500 Algorithms and Complexity,Computer Science,University of Connecticut,Lina Kloub,discouraging,0.596972644329071,0.59697264,0.3185172,0.08451015
"You will be responsible for any inaccurate, biased, offensive, or otherwise unethical content you submit, regardless of whether it originally comes from you or an AI tool.",CSE 3500 Algorithms and Complexity,Computer Science,University of Connecticut,Lina Kloub,discouraging,0.621372401714325,0.6213724,0.34233725,0.036290303
"Cheating hurts our community by undermining academic integrity, creating mistrust, and fostering unfair competition.",CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",encouraging,0.5310407876968384,0.32836202,0.14059724,0.5310408
"The university will punish cheaters with failure on an assignment, failure in a course, permanent transcript notation, suspension, and/or expulsion.",CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",discouraging,0.6632146835327148,0.6632147,0.23406222,0.10272304
"Violations can include cheating on exams, plagiarism, reuse of assignments without permission, improper use of the Internet and electronic devices, unauthorized collaboration, alteration of graded assignments, forgery and falsification, lying, facilitating academic dishonesty, and unfair competition.",CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",discouraging,0.7113062739372253,0.7113063,0.2186101,0.070083566
"In the above paragraph ""outside sources"" also include content that was produced by an AI assistant like ChatGPT.",CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",discouraging,0.6029917597770691,0.60299176,0.25500783,0.14200047
This follows either by treating the AI assistant as a person for the purposes of this policy (controversial) or acknowledging that the AI assistant was trained directly on people's original work.,CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",discouraging,0.5301788449287415,0.53017884,0.35840723,0.11141393
Assignments that are in large part quoted from an AI assistant are very unlikely to be evaluated positively.,CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",conditional,0.6830695271492004,0.2641789,0.6830695,0.05275159
"In addition, if a student's work is substantially identical to another student's work, that will be grounds for an investigation of plagiarism regardless of whether the prose was produced by an AI assistant.",CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",conditional,0.4930739402770996,0.42619717,0.49307394,0.08072887
"We treat AI-based assistance, such as ChatGPT and Github Copilot, the same way we treat collaboration with other people: you are welcome to talk about your ideas and work with other people, both inside and outside the class, as well as with AI-based assistants.",CS6750: Human-Computer Interaction; CS7637: Knowledge-Based AI,Computer Sciences,Georgia Tech,"David Joyner, also shared on Twitter",encouraging,0.9300212264060974,0.033578914,0.036399942,0.9300212
"If you are unsure where the line is between collaborating with AI and copying from AI, we recommend the following heuristics:

- Never hit “Copy” within your conversation with an AI assistant.",CS6750: Human-Computer Interaction; CS7637: Knowledge-Based AI,Computer Sciences,Georgia Tech,"David Joyner, also shared on Twitter",discouraging,0.5764819979667664,0.576482,0.19924316,0.22427483
"Instead, use your interaction with the AI assistant as a learning experience, then let your assignment reflect your improved understanding.",CS6750: Human-Computer Interaction; CS7637: Knowledge-Based AI,Computer Sciences,Georgia Tech,"David Joyner, also shared on Twitter",encouraging,0.9554921984672546,0.022648573,0.021859234,0.9554922
- Do not have your assignment and the AI agent itself open on your device at the same time.,CS6750: Human-Computer Interaction; CS7637: Knowledge-Based AI,Computer Sciences,Georgia Tech,"David Joyner, also shared on Twitter",discouraging,0.660318911075592,0.6603189,0.1507044,0.18897666
"Similar to above, use your conversation with the AI as a learning experience, then close the interaction down, open your assignment, and let your assignment reflect your revised knowledge.",CS6750: Human-Computer Interaction; CS7637: Knowledge-Based AI,Computer Sciences,Georgia Tech,"David Joyner, also shared on Twitter",encouraging,0.9428365230560303,0.031597923,0.025565533,0.9428365
"This heuristic includes avoiding using AI assistants that are directly integrated into your composition environment: just as you should not let a classmate write content or code directly into your submission, so also you should avoid using tools that directly add content to your submission.",CS6750: Human-Computer Interaction; CS7637: Knowledge-Based AI,Computer Sciences,Georgia Tech,"David Joyner, also shared on Twitter",discouraging,0.5806428790092468,0.5806429,0.30538034,0.11397683
"Generative AI systems (like ChatGPT), if used correctly, can serve as powerful tools for learning and idea refinement.",Data Structures and Algorithms,Computer Sciences,Colgate University,Grusha Prasad,encouraging,0.9656121730804443,0.014800081,0.01958782,0.9656122
"In this course, you can use generative AI systems to learn about concepts iteratively through a conversation (much like you would have a conversation with a peer, TA or an instructor).",Data Structures and Algorithms,Computer Sciences,Colgate University,Grusha Prasad,encouraging,0.9737715721130371,0.010741008,0.015487413,0.9737716
"- Give the model the homework description and ask it to organize the code for you (e.g., generate the necessary function headers, write the main functions etc).",Data Structures and Algorithms,Computer Sciences,Colgate University,Grusha Prasad,encouraging,0.9088419675827026,0.06504266,0.026115311,0.90884197
"Use your conversation with the AI as a learning experience, then close the interaction down, open your assignment, and let your assignment reflect your revised knowledge.",Data Structures and Algorithms,Computer Sciences,Colgate University,Grusha Prasad,encouraging,0.9495146870613098,0.030142225,0.020343108,0.9495147
Using the AI system in ways as described above will count as cheating even if you cite the AI system as a source.,Data Structures and Algorithms,Computer Sciences,Colgate University,Grusha Prasad,discouraging,0.5966061949729919,0.5966062,0.32789052,0.07550324
"So you may have varying levels of success using these models to gain conceptual understanding, and in many cases just talking to your instructors/ TA/ peers or even doing straight up googling is likely to yield better results.",Data Structures and Algorithms,Computer Sciences,Colgate University,Grusha Prasad,encouraging,0.6352014541625977,0.042703748,0.32209477,0.63520145
"If you do decide to use these models, it is your responsibility to also fact check the insights that you gain.",Data Structures and Algorithms,Computer Sciences,Colgate University,Grusha Prasad,encouraging,0.932816207408905,0.015384849,0.051798932,0.9328162
"Artificial Intelligence (AI) is a tool, not a shortcut!",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.7622561454772949,0.16057353,0.07717039,0.76225615
See AI Tutorial page for tools and resources.,Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.9605278968811035,0.025236405,0.014235674,0.9605279
Some assignments in this course may allow or require the use of AI.,Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.7416149973869324,0.1547252,0.10365976,0.741615
"You may not submit any work for this course, generated (in part or whole) by AI as your own, without disclosure.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",discouraging,0.5265852212905884,0.5265852,0.43508574,0.038329
"It is your job to ensure all AI information used is accurate, properly sourced and cited, reliable, and valid.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",conditional,0.7220503687858582,0.14559235,0.72205037,0.13235731
AI hallucinates (makes stuff up).,Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.5436908602714539,0.24268427,0.21362491,0.54369086
Treat AI outputs like information from an unknown source – verify facts using credible academic or professional sources.,Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",conditional,0.9046488404273987,0.07687661,0.90464884,0.01847453
"For every assignment (including reading summaries), students shall include an AI disclosure statement that truthfully specifies which tools (if any) were used, how they contributed to the work, and the specific portions of the assignment they influenced.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",discouraging,0.46682754158973694,0.46682754,0.41288218,0.12029027
Some assignments require AI prompts in addition to a general disclosure statement.,Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",discouraging,0.6042519211769104,0.6042519,0.2786988,0.11704929
Example of an excellent disclosure statement: “I used ChatGPT as a research and learning support tool.,Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.9460904002189636,0.036608044,0.017301599,0.9460904
"Specifically, I used ChatGPT to generate an initial summary of the X Police Department’s history and to provide examples of APA 7th-formatted citations and source links.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.9749048948287964,0.015962468,0.009132667,0.9749049
"I then reviewed, evaluated, and verified the AI-generated information by reviewing it against official City of X webpages and reputable news sources.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.6677007675170898,0.04526506,0.28703412,0.66770077
"I then critically analyzed the AI’s response, identified areas where details were missing or generalized, and incorporated my own research findings and evaluation into the final written analysis.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.7940459847450256,0.045768637,0.16018534,0.794046
"Here is a recommended citation for the latest (rel: 12/20/2025) free version of the ChatGPT and GPT 1.5 applications, owned by OpenAI.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.93886798620224,0.046736658,0.014395391,0.938868
[Large language model].,Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.46910032629966736,0.36683097,0.16406861,0.46910033
"https://chat.openai.com/ 
OpenAI.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.8154019117355347,0.14284939,0.04174866,0.8154019
"https://chat.openai.com/
In text: (OpenAI, 2025)

AI Disclosure: I used ChatGPT to suggest improvements to my previous AI policy and suggest syllabus language appealing to a GenZ audience.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",encouraging,0.6558475494384766,0.2791771,0.06497538,0.65584755
ChatGPT and other AI generators that use large language models can be useful for researching and writing papers.,Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,encouraging,0.9653137922286987,0.016330611,0.018355554,0.9653138
"However, you should be aware of their limitations:
1.        Errors: AI generators make mistakes.",Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,discouraging,0.634285569190979,0.63428557,0.21209037,0.15362404
Assume the output is incorrect unless you check the claims with reliable sources.,Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,conditional,0.7422034740447998,0.21905248,0.7422035,0.03874404
Bias: Their output may reflect bias because the data they are trained on may reflect bias or may not include sufficient data from certain groups.,Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,conditional,0.804280161857605,0.16287374,0.80428016,0.032846075
"With these limitations in mind, you are welcome to use AI generators to brainstorm and refine ideas, find reliable sources, outline, check grammar, refine wording, and format bibliographies.",Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,encouraging,0.5334570407867432,0.14727224,0.3192707,0.53345704
"Beyond bibliographies, you are not allowed to copy and paste material generated by AI and use it in your assignments.",Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,discouraging,0.5454005002975464,0.5454005,0.3861538,0.06844567
"At the end of your bibliography, add a note indicating which AI tool you used and how you used it, including the prompt(s) you used and the date(s).",Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,encouraging,0.9359434843063354,0.04046023,0.023596311,0.9359435
You should be able to use generative AIs but only to use to help with finding sources or to correct spelling and grammar for an assignment.,Cyber Security Policy and Law,Cybersecurity,Rochester Institute of Technology,Amrit Sinha,conditional,0.6301108002662659,0.328731,0.6301108,0.041158155
"In this course, we may use generative AI tools to examine how AI impacts our field, with the aim of promoting critical thinking and becoming informed digital citizens.",Cybersecurity,Cybersecurity,The University of Texas at San Antonio,Rita Mitra,encouraging,0.9782840013504028,0.010744583,0.010971469,0.978284
"When using generative AI, please make sure to:
Validate the accuracy of any AI-generated content with at least one reliable reference, because generative AI can produce questionable and biased results, including misinformation and “hallucinations”.",Cybersecurity,Cybersecurity,The University of Texas at San Antonio,Rita Mitra,conditional,0.8461155891418457,0.13309404,0.8461156,0.020790376
Properly attribute your use of AI tools in accordance with the class citation requirements.,Cybersecurity,Cybersecurity,The University of Texas at San Antonio,Rita Mitra,discouraging,0.5387961268424988,0.5387961,0.18206823,0.2791356
"Do not share any personal identifiable information (PII) or other sensitive information in your prompts to an AI platform, because generative AI tools may store your prompts (review the AI tool’s “terms of use” regarding data privacy).",Cybersecurity,Cybersecurity,The University of Texas at San Antonio,Rita Mitra,discouraging,0.5861418843269348,0.5861419,0.33869866,0.07515946
Include any limitations of and/or concerns about content you have curated from generative AI.,Cybersecurity,Cybersecurity,The University of Texas at San Antonio,Rita Mitra,conditional,0.5338939428329468,0.42187396,0.53389394,0.044232115
Revise any AI-generated output to create authentic content that reflect your unique experience with the course material.,Cybersecurity,Cybersecurity,The University of Texas at San Antonio,Rita Mitra,encouraging,0.8811829686164856,0.06831024,0.05050681,0.88118297
"AI Tools Usage Policy

This course acknowledges the growing role of AI tools in design and engineering practices.",IDEM307 Generative AI + Design,Design,Delft University of Technology,Gerd Kortuem,encouraging,0.9701168537139893,0.020961825,0.00892133,0.97011685
"Students are permitted to use AI tools (such as ChatGPT, DALL-E, Midjourney, GitHub Copilot, etc.) for ideation, problem-solving, and content generation throughout the course, with the following requirements:

#### AI Usage Documentation

All submissions that incorporate AI assistance must include a dedicated section titled """"AI Usage Documentation"""" that includes:

- **Tools Used**: Specify which AI tools were used (e.g., ChatGPT-4, DALL-E, etc.)
- **Purpose and Scope**: Clearly describe which parts of your work involved AI assistance and for what purpose
- **Prompts and Interactions**: Provide a summary of the key prompts or queries you used
- **Human Contribution**: Explain how you modified, refined, or built upon the AI-generated content
- **Critical Reflection**: Briefly assess the strengths and limitations of the AI assistance for this particular task

#### Guidelines for Appropriate Use

- **Conceptual Understanding**: AI tools should supplement, not replace, your understanding of core course concepts.",IDEM307 Generative AI + Design,Design,Delft University of Technology,Gerd Kortuem,encouraging,0.5710298418998718,0.33822796,0.09074216,0.57102984
"You are responsible for comprehending all content in your submissions, regardless of how it was generated.
- **Original Thinking**: AI should be used to enhance your creative process, not substitute for critical thinking or original design decisions.
- **Attribution**: Using AI-generated content without proper documentation will be considered a violation of academic integrity policies.
- **Limitations**: For certain components of assignments that are specifically designed to assess individual skills, restrictions on AI use may apply.",IDEM307 Generative AI + Design,Design,Delft University of Technology,Gerd Kortuem,discouraging,0.5291734337806702,0.52917343,0.44258258,0.028243927
"AI may be used for research purposes, but not for text generation.",ECO 2013,Economics,Miami Dade College,Francisco Larios,conditional,0.7292370200157166,0.12682448,0.729237,0.14393853
"AI Policy for ECON 225: Economic Development and Growth (DRAFT)

Purpose and Rationale
As artificial intelligence (AI) continues to advance, being able to use AI tools effectively is becoming a crucial skill for future employment.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.954647421836853,0.029802583,0.015550052,0.9546474
This course acknowledges the growing importance of AI literacy and aims to equip students with the ability to effectively leverage AI technologies.,ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.974018394947052,0.014538654,0.011442966,0.9740184
"However, mere reliance on AI without the ability to critically analyze, write, and discern high-quality work will not suffice for long-term success in the workplace.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,conditional,0.710502564907074,0.123414434,0.71050256,0.16608307
"Therefore, this AI policy attempts to balance integration of AI tools with the development of fundamental communication and analytical skills.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.9471653699874878,0.030890893,0.021943731,0.94716537
"AI Tool Usage and Acknowledgment
Students are encouraged to use AI tools as part of their learning process and coursework to enhance their understanding and productivity.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.9788015484809875,0.012255018,0.008943493,0.97880155
"The following guidelines are meant to ensure transparency and academic integrity in the use of AI:

1.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.9049906134605408,0.053938285,0.0410711,0.9049906
"Disclosure of AI Usage: Any use of AI tools in the completion of assignments, projects, or other coursework must be explicitly disclosed.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,conditional,0.47321704030036926,0.4434487,0.47321704,0.083334275
"Students must include a statement specifying the AI tools used, the extent of their use, and the specific tasks for which AI assistance was sought.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.7523490786552429,0.10660217,0.14104877,0.7523491
Prompt Disclosure: Students are required to provide a list of all prompts entered into the AI tools.,ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,discouraging,0.6226957440376282,0.62269574,0.2761451,0.10115919
"Manual Transcription of AI-Generated Text: To ensure that students engage with and critically evaluate AI-generated content, any text generated by AI tools must be manually typed into the final document by the student.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,conditional,0.7001445293426514,0.25447816,0.7001445,0.04537729
"Academic Integrity and Evaluation
The integration of AI tools must align with the principles of academic integrity.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.7686167359352112,0.14883997,0.08254323,0.76861674
"We regard false representation of our scholarly work as unacceptable because it undermines our integrity and that of the community."""" Evaluation of student work will consider not only proper use and acknowledgment of AI tools, but also demonstration of critical thinking, originality, and ability to produce high-quality academic work independently of AI assistance.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,conditional,0.5208333134651184,0.40617973,0.5208333,0.07298693
"Encouragement for Skill Development
The objectives of this policy are to (1) prepare students for the evolving demands of the job market by advancing AI literacy, (2) promote essential cognitive skills, and (3) promote deep and personalized learning.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.9680687189102173,0.020094292,0.011836961,0.9680687
"Students are encouraged to experiment with AI tools to enhance their learning experience, while simultaneously developing the ability to think critically, write effectively, and produce high-quality work that reflects their understanding, values, and insights.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.9705185294151306,0.013247438,0.016234025,0.9705185
"Conclusion
This AI policy highlights the importance of transparency, academic integrity, and the development of a comprehensive skill set that integrates AI proficiency with essential academic competencies.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.9245589971542358,0.04173139,0.033709545,0.924559
Students are encouraged to embrace the opportunities presented by AI while maintaining a commitment to critical thinking and high-quality scholarly work.,ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,encouraging,0.9732378125190735,0.009809724,0.016952464,0.9732378
